Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
xxl-exfoliating-back-scrubber-by-iduna-beauty,XXL Exfoliating Back Scrubber By Iduna Beauty,"<h3>First, imagine the person who you are going to greet</h3>
<p>The very usage of it brings pleasure and light to their owners. Apart from that, you can get a gift voucher - the recipient will choose a gift themselves. If you have any questions, suggestions or hesitations - please feel free to contact us, we’ll gladly help you!  Choosing a gift may be an incredibly challenging thing to do… unless you have someone like us to help you. No matter who you have to choose a gift for - we are here to assist.</p>
<p>Put several questions to yourself: what is their hobby?</p>
<ol>
<li>What kind of things do they already have?</li>
<li>Is it something fancy or closer to minimalism?</li>
<li>Define the type of nature they possess: a romantic or pragmatic and down-to-earth one.</li>
</ol>
<p><strong></strong>Remember: a great present may be an everyday thing but shaped in a highly aesthetic way. The very usage of it brings pleasure and light to their owners. Apart from that, you can get a gift voucher - the recipient will choose a gift themselves. If you have any questions, suggestions or hesitations - <strong>please feel free to contact us, we’ll gladly help you</strong>!  Choosing a gift may be an incredibly challenging thing to do… unless you have someone like us to help you.</p>
<h4>No matter who you have to choose a gift for - we are here to assist</h4>
<p><iframe src=""https://www.youtube-nocookie.com/embed/YlagcvqQjLQ?rel=0"" allowfullscreen="""" height=""720"" width=""1280""></iframe></p>
<p>Choose ‘Gifts for a bedroom/kitchen/garden’ section and see what is offered there. What exactly can you get at our store? Almost anything, strating from tea cozies and retro vinyls to chic desk accessories and different gadgets for cars, home and office. <a target=""_blank"" href=""https://www.youtube.com/watch?v=YlagcvqQjLQ"">Remember: a great present may be an everyday thing but shaped in a highly aesthetic way</a>. The very usage of it brings pleasure and light to their owners. What kind of things do they already have?</p>",Classygift,Toys,"",true,Title,Default Title,,,,,654654654-56,0,shopify,0,deny,manual,36.00,,true,false,'541265746854231,https://cdn.shopify.com/s/files/1/0073/2076/4471/products/xxl_exfoliating_back_scrubber_by_iduna_beauty_1.png?v=1553603398,1,,false,,,,,,,,,,,,,,,,,kg,,
xxl-exfoliating-back-scrubber-by-iduna-beauty,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0073/2076/4471/products/xxl_exfoliating_back_scrubber_by_iduna_beauty_2.png?v=1553603398,2,,,,,,,,,,,,,,,,,,,,,
xxl-exfoliating-back-scrubber-by-iduna-beauty,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0073/2076/4471/products/xxl_exfoliating_back_scrubber_by_iduna_beauty_3.png?v=1553603398,3,,,,,,,,,,,,,,,,,,,,,
xxl-exfoliating-back-scrubber-by-iduna-beauty,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0073/2076/4471/products/xxl_exfoliating_back_scrubber_by_iduna_beauty_4.png?v=1553603398,4,,,,,,,,,,,,,,,,,,,,,
xxl-exfoliating-back-scrubber-by-iduna-beauty,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0073/2076/4471/products/xxl_exfoliating_back_scrubber_by_iduna_beauty_5.png?v=1553603398,5,,,,,,,,,,,,,,,,,,,,,
wine-country-gift-baskets-tower-of-sweets,Wine Country Gift Baskets Tower of Sweets,"<h2>No matter who you have to choose a gift for - we are here to assist</h2>
<p>The very usage of it brings pleasure and light to their owners. Apart from that, you can get a gift voucher - the recipient will choose a gift themselves. If you have any questions, suggestions or hesitations - please feel free to contact us, we’ll gladly help you!  Choosing a gift may be an incredibly challenging thing to do… unless you have someone like us to help you.</p>
<p><strong></strong>Almost anything, strating from tea cozies and retro vinyls to chic desk accessories and different gadgets for cars, home and office. Remember: <strong>a great present may be an everyday thing</strong> but shaped in a highly aesthetic way.</p>
The very usage of it brings pleasure and light to their owners. <a target=""_blank"" href=""https://www.youtube.com/watch?v=YlagcvqQjLQ"">Apart from that, you can get a gift voucher</a> - the recipient will choose a gift themselves. If you have any questions, suggestions or hesitations - please feel free to contact us, we’ll gladly help you!  Choosing a gift may be an incredibly challenging thing to do… unless you have someone like us to help you. No matter who you have to choose a gift for - we are here to assist.<br>
<ul>
<li>Count on us</li>
<li>Is it something fancy or closer to minimalism?</li>
</ul>
<p>If you know the answer - congrats, you’ve almost chosen the perfect gift - just go through our site classification and you’ll recognize a great gift option as soon as you see it. Nevertheless, you still might be thinking ‘how do I choose a gift if I don’t know the person well?’ Count on us. There are several thousands of gift items at your disposal, all classified. And this classification is the thing which will help you out.</p>",Classygift,Gift Baskets,Lorem ipsum,true,Title,Default Title,,,,,'327038,4500,shopify,100,deny,manual,140.00,88.00,true,true,555-6322-1,https://cdn.shopify.com/s/files/1/0073/2076/4471/products/wine_country_gift_baskets_tower_of_sweets_1.png?v=1553603385,1,,false,,,,,,,,,,,,,,,,,kg,,
wine-country-gift-baskets-tower-of-sweets,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0073/2076/4471/products/wine_country_gift_baskets_tower_of_sweets_2.png?v=1553603385,2,,,,,,,,,,,,,,,,,,,,,
wine-country-gift-baskets-tower-of-sweets,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0073/2076/4471/products/wine_country_gift_baskets_tower_of_sweets_3.png?v=1553603385,3,,,,,,,,,,,,,,,,,,,,,
wine-country-gift-baskets-tower-of-sweets,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0073/2076/4471/products/wine_country_gift_baskets_tower_of_sweets_4.png?v=1553603385,4,,,,,,,,,,,,,,,,,,,,,
wine-country-gift-baskets-tower-of-sweets,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0073/2076/4471/products/wine_country_gift_baskets_tower_of_sweets_5.png?v=1553603385,5,,,,,,,,,,,,,,,,,,,,,
